PRODUCTO,CATEGORIA,SUBCATEGORIA,MARCA,PROVEEDOR,COSTO_MERCANCIA_PORCENTAJE_VENTA,PRECIO_LISTA_PROMEDIO,ROTACION
Alivio de mordedura de insectos,Cuidado y Proteccion Outdoor,Cuidado Personal Outdoor,Marca propia Cumbre,Importadora Cumbre Outdoor,0.50,16402.0,Alta
Arnés Extremo Husky,Camping y Montanismo,Equipo Outdoor General,Marca propia Cumbre,Importadora Cumbre Outdoor,0.58,9099.0,Alta
Balon de Futbol Adidas,Futbol - Indumentaria y accesorios,Indumentaria y Accesorios de Futbol,Adidas,Adidas Distribucion Andina,0.55,6618.0,Alta
Balon de Microfutbol Golty,Futbol - Indumentaria y accesorios,Indumentaria y Accesorios de Futbol,Golty,Golty Colombia,0.55,13202.0,Alta
Batería recargable Firefly,Cuidado y Proteccion Outdoor,Cuidado Personal Outdoor,Firefly,Importadora Cumbre Outdoor,0.50,5995.0,Alta
Bloqueador solar,Cuidado y Proteccion Outdoor,Cuidado Personal Outdoor,Marca propia Cumbre,Importadora Cumbre Outdoor,0.50,8628.0,Alta
Bolsa de golf Course Pro,Golf,Equipo de Golf,Course Pro,Importadora Cumbre Outdoor,0.45,5043.0,Alta
BugShield Lotion Lite,Cuidado y Proteccion Outdoor,Cuidado Personal Outdoor,Marca propia Cumbre,Importadora Cumbre Outdoor,0.50,8187.0,Baja
BugShield Spray,Cuidado y Proteccion Outdoor,Cuidado Personal Outdoor,Marca propia Cumbre,Importadora Cumbre Outdoor,0.50,7886.0,Media
Camiseta Deportiva,Futbol - Indumentaria y accesorios,Indumentaria y Accesorios de Futbol,Marca propia Cumbre,Importadora Cumbre Outdoor,0.55,11553.0,Alta
Canyon Mule Carryall,Camping y Montanismo,Carga y Transporte,Marca propia Cumbre,Importadora Cumbre Outdoor,0.58,8070.0,Baja
Casco de escalada de granito,Camping y Montanismo,Escalada y Montanismo,Marca propia Cumbre,Importadora Cumbre Outdoor,0.58,8449.0,Alta
GPS glaciar,Camping y Montanismo,Navegacion y Observacion,Marca propia Cumbre,Importadora Cumbre Outdoor,0.58,22094.0,Alta
