PRODUCTO,CATEGORIA,SUBCATEGORIA,MARCA,PROVEEDOR,COSTO_MERCANCIA_PORCENTAJE_VENTA,PRECIO_LISTA_PROMEDIO,ROTACION
Alivio de mordedura de insectos,Cuidado y Proteccion Outdoor,Cuidado Personal Outdoor,Marca propia Cumbre,Importadora Cumbre Outdoor,0.50,25929.0,Alta
Arnés Extremo Husky,Camping y Montanismo,Equipo Outdoor General,Marca propia Cumbre,Importadora Cumbre Outdoor,0.58,20384.0,Alta
Balon de Futbol Adidas,Futbol - Indumentaria y accesorios,Indumentaria y Accesorios de Futbol,Adidas,Adidas Distribucion Andina,0.55,40598.0,Alta
Balon de Microfutbol Golty,Futbol - Indumentaria y accesorios,Indumentaria y Accesorios de Futbol,Golty,Golty Colombia,0.55,26548.0,Alta
Batería recargable Firefly,Cuidado y Proteccion Outdoor,Cuidado Personal Outdoor,Firefly,Importadora Cumbre Outdoor,0.50,29587.0,Alta
Bloqueador solar,Cuidado y Proteccion Outdoor,Cuidado Personal Outdoor,Marca propia Cumbre,Importadora Cumbre Outdoor,0.50,30215.0,Alta
Bolsa de golf Course Pro,Golf,Equipo de Golf,Course Pro,Importadora Cumbre Outdoor,0.45,22434.0,Alta
BugShield Lotion Lite,Cuidado y Proteccion Outdoor,Cuidado Personal Outdoor,Marca propia Cumbre,Importadora Cumbre Outdoor,0.50,60176.0,Baja
BugShield Spray,Cuidado y Proteccion Outdoor,Cuidado Personal Outdoor,Marca propia Cumbre,Importadora Cumbre Outdoor,0.50,56813.0,Baja
Camiseta Deportiva,Futbol - Indumentaria y accesorios,Indumentaria y Accesorios de Futbol,Marca propia Cumbre,Importadora Cumbre Outdoor,0.55,21799.0,Alta
Canyon Mule Carryall,Camping y Montanismo,Carga y Transporte,Marca propia Cumbre,Importadora Cumbre Outdoor,0.58,58228.0,Baja
Casco de escalada de granito,Camping y Montanismo,Escalada y Montanismo,Marca propia Cumbre,Importadora Cumbre Outdoor,0.58,23625.0,Alta
GPS glaciar,Camping y Montanismo,Navegacion y Observacion,Marca propia Cumbre,Importadora Cumbre Outdoor,0.58,32624.0,Alta
Gorra Deportiva,Ropa y Accesorios Deportivos,Ropa Deportiva,Marca propia Cumbre,Importadora Cumbre Outdoor,0.52,37849.0,Alta
Guantes de Arquero Nike,Futbol - Indumentaria y accesorios,Indumentaria y Accesorios de Futbol,Nike,Nike LATAM S.A.,0.55,10335.0,Alta
Guayos Nike Cr-10,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,57448.0,Baja
Guayos Nike Cr-100,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,61198.0,Alta
Guayos Nike Cr-101,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,59237.0,Alta
Guayos Nike Cr-102,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,59583.0,Baja
Guayos Nike Cr-103,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,60443.0,Media
Guayos Nike Cr-104,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,57881.0,Baja
Guayos Nike Cr-105,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,53633.0,Media
Guayos Nike Cr-106,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,59226.0,Alta
Guayos Nike Cr-107,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,59284.0,Media
Guayos Nike Cr-108,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,57668.0,Baja
Guayos Nike Cr-109,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,59480.0,Alta
Guayos Nike Cr-11,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,57547.0,Baja
Guayos Nike Cr-110,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,55648.0,Media
Guayos Nike Cr-111,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,60448.0,Baja
Guayos Nike Cr-112,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,60263.0,Baja
Guayos Nike Cr-113,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,58425.0,Media
Guayos Nike Cr-114,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,59819.0,Media
Guayos Nike Cr-115,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,56874.0,Media
Guayos Nike Cr-116,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,60880.0,Alta
Guayos Nike Cr-117,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,61185.0,Media
Guayos Nike Cr-118,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,60134.0,Alta
Guayos Nike Cr-119,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,57646.0,Baja
Guayos Nike Cr-12,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,59791.0,Media
Guayos Nike Cr-120,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,59014.0,Alta
Guayos Nike Cr-121,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,61236.0,Baja
Guayos Nike Cr-122,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,58888.0,Media
Guayos Nike Cr-13,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,58378.0,Media
Guayos Nike Cr-14,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,59697.0,Alta
Guayos Nike Cr-15,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,61426.0,Media
Guayos Nike Cr-16,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,59093.0,Baja
Guayos Nike Cr-17,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,58546.0,Media
Guayos Nike Cr-18,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,58829.0,Baja
Guayos Nike Cr-19,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,59000.0,Baja
Guayos Nike Cr-20,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,62442.0,Media
Guayos Nike Cr-21,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,60769.0,Baja
Guayos Nike Cr-22,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,55894.0,Alta
Guayos Nike Cr-23,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,57069.0,Baja
Guayos Nike Cr-24,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,58627.0,Alta
Guayos Nike Cr-25,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,58107.0,Media
Guayos Nike Cr-26,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,58450.0,Baja
Guayos Nike Cr-27,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,57685.0,Media
Guayos Nike Cr-28,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,58839.0,Media
Guayos Nike Cr-29,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,57838.0,Media
Guayos Nike Cr-30,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,59145.0,Baja
Guayos Nike Cr-31,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,59919.0,Media
Guayos Nike Cr-32,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,62158.0,Baja
Guayos Nike Cr-33,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,58400.0,Alta
Guayos Nike Cr-34,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,59374.0,Media
Guayos Nike Cr-35,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,59671.0,Media
Guayos Nike Cr-36,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,58816.0,Media
Guayos Nike Cr-37,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,60504.0,Baja
Guayos Nike Cr-38,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,58971.0,Media
Guayos Nike Cr-39,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,57260.0,Media
Guayos Nike Cr-40,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,60205.0,Baja
Guayos Nike Cr-41,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,57098.0,Media
Guayos Nike Cr-42,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,57700.0,Baja
Guayos Nike Cr-43,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,58293.0,Baja
Guayos Nike Cr-44,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,59202.0,Media
Guayos Nike Cr-45,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,60039.0,Media
Guayos Nike Cr-46,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,57272.0,Baja
Guayos Nike Cr-47,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,58920.0,Media
Guayos Nike Cr-48,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,59111.0,Baja
Guayos Nike Cr-49,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,60089.0,Alta
Guayos Nike Cr-50,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,57964.0,Alta
Guayos Nike Cr-51,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,57566.0,Media
Guayos Nike Cr-52,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,56933.0,Media
Guayos Nike Cr-53,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,56395.0,Baja
Guayos Nike Cr-54,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,57275.0,Alta
Guayos Nike Cr-55,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,56742.0,Baja
Guayos Nike Cr-56,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,57936.0,Baja
Guayos Nike Cr-57,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,59116.0,Media
Guayos Nike Cr-58,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,58067.0,Baja
Guayos Nike Cr-59,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,54927.0,Media
Guayos Nike Cr-60,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,59867.0,Baja
Guayos Nike Cr-61,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,60425.0,Media
Guayos Nike Cr-62,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,58143.0,Alta
Guayos Nike Cr-63,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,59128.0,Media
Guayos Nike Cr-64,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,58336.0,Media
Guayos Nike Cr-65,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,59320.0,Alta
Guayos Nike Cr-66,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,58487.0,Media
Guayos Nike Cr-67,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,57705.0,Baja
Guayos Nike Cr-68,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,57723.0,Alta
Guayos Nike Cr-69,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,61010.0,Baja
Guayos Nike Cr-7,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,30572.0,Alta
Guayos Nike Cr-70,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,60055.0,Media
Guayos Nike Cr-71,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,58189.0,Alta
Guayos Nike Cr-72,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,58617.0,Media
Guayos Nike Cr-73,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,58364.0,Media
Guayos Nike Cr-74,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,58458.0,Baja
Guayos Nike Cr-75,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,58576.0,Media
Guayos Nike Cr-76,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,59311.0,Media
Guayos Nike Cr-77,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,59784.0,Media
Guayos Nike Cr-78,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,61212.0,Media
