PRODUCTO,CATEGORIA,SUBCATEGORIA,MARCA,PROVEEDOR,COSTO_MERCANCIA_PORCENTAJE_VENTA,PRECIO_LISTA_PROMEDIO,ROTACION
Alivio de mordedura de insectos,Cuidado y Proteccion Outdoor,Cuidado Personal Outdoor,Marca propia Cumbre,Importadora Cumbre Outdoor,0.50,16194.0,Alta
Arnés Extremo Husky,Camping y Montanismo,Equipo Outdoor General,Marca propia Cumbre,Importadora Cumbre Outdoor,0.58,9118.0,Alta
Balon de Futbol Adidas,Futbol - Indumentaria y accesorios,Indumentaria y Accesorios de Futbol,Adidas,Adidas Distribucion Andina,0.55,6927.0,Alta
Balon de Microfutbol Golty,Futbol - Indumentaria y accesorios,Indumentaria y Accesorios de Futbol,Golty,Golty Colombia,0.55,13262.0,Alta
Batería recargable Firefly,Cuidado y Proteccion Outdoor,Cuidado Personal Outdoor,Firefly,Importadora Cumbre Outdoor,0.50,6057.0,Alta
Bloqueador solar,Cuidado y Proteccion Outdoor,Cuidado Personal Outdoor,Marca propia Cumbre,Importadora Cumbre Outdoor,0.50,8705.0,Alta
Bolsa de golf Course Pro,Golf,Equipo de Golf,Course Pro,Importadora Cumbre Outdoor,0.45,4835.0,Alta
BugShield Lotion Lite,Cuidado y Proteccion Outdoor,Cuidado Personal Outdoor,Marca propia Cumbre,Importadora Cumbre Outdoor,0.50,8015.0,Baja
BugShield Spray,Cuidado y Proteccion Outdoor,Cuidado Personal Outdoor,Marca propia Cumbre,Importadora Cumbre Outdoor,0.50,8339.0,Baja
Camiseta Deportiva,Futbol - Indumentaria y accesorios,Indumentaria y Accesorios de Futbol,Marca propia Cumbre,Importadora Cumbre Outdoor,0.55,11520.0,Alta
Canyon Mule Carryall,Camping y Montanismo,Carga y Transporte,Marca propia Cumbre,Importadora Cumbre Outdoor,0.58,8623.0,Baja
Casco de escalada de granito,Camping y Montanismo,Escalada y Montanismo,Marca propia Cumbre,Importadora Cumbre Outdoor,0.58,8606.0,Alta
GPS glaciar,Camping y Montanismo,Navegacion y Observacion,Marca propia Cumbre,Importadora Cumbre Outdoor,0.58,21795.0,Alta
Gorra Deportiva,Ropa y Accesorios Deportivos,Ropa Deportiva,Marca propia Cumbre,Importadora Cumbre Outdoor,0.52,18467.0,Alta
Guantes de Arquero Nike,Futbol - Indumentaria y accesorios,Indumentaria y Accesorios de Futbol,Nike,Nike LATAM S.A.,0.55,6452.0,Alta
Guayos Nike Cr-10,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8789.0,Baja
Guayos Nike Cr-100,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8322.0,Alta
Guayos Nike Cr-101,Futbol - Calzado,Calzado con Tacos,Nike,Nike LATAM S.A.,0.60,8346.0,Alta
